analysis_version,fiction_id,title,author,url,sampled_this_run,latest_metric_run_id,latest_metric_observed_utc,previous_metric_run_id,previous_metric_observed_utc,elapsed_since_previous_hours,followers,previous_followers,follower_delta_since_previous,follower_pct_change_since_previous,followers_per_day_increment,total_views,previous_total_views,view_delta_since_previous,view_pct_change_since_previous,views_per_day_increment,chapter_count,previous_chapter_count,chapter_delta_since_previous,favorites,favorite_delta_since_previous,rating_count,rating_count_delta_since_previous,launch_index,launch_index_confidence,current_rs,current_best_rs_rank
longitudinal-launch-v1,171153,"I Am Weapon [Mage, Litrpg, Academy, Progression]",ZeroXnobody,https://www.royalroad.com/fiction/171153/i-am-weapon-mage-litrpg-academy-progression,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,2912,2889,23,0.7961,143.4328,222925,220198,2727,1.2384,17006.1416,35,35,0,521,1,296,1,93.21,high,True,2
longitudinal-launch-v1,176669,Nuclear Son,Scyzim,https://www.royalroad.com/fiction/176669/nuclear-son,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,2471,2441,30,1.229,187.0863,169982,167396,2586,1.5448,16126.8361,28,28,0,415,8,207,3,94.08,high,True,1
longitudinal-launch-v1,175996,Noble Arcana,Seersucker,https://www.royalroad.com/fiction/175996/noble-arcana,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,5283,5269,14,0.2657,87.3069,390159,388292,1867,0.4808,11643.002,30,30,0,908,2,519,1,94.07,high,True,4
longitudinal-launch-v1,171123,I Made A Railgun with Lightning Magic (LitRPG / OP MC / Isekai),Josh Shoniix,https://www.royalroad.com/fiction/171123/i-made-a-railgun-with-lightning-magic-litrpg-op,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,2945,2929,16,0.5463,99.7793,192277,190801,1476,0.7736,9204.6443,4,4,0,474,4,238,0,94.55,high,True,4
longitudinal-launch-v1,171710,The Necro-Industrial Revolution [Kingdom Building] (BOOK 1 COMPLETED),DyingBug,https://www.royalroad.com/fiction/171710/the-necro-industrial-revolution-kingdom-building,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,1891,1885,6,0.3183,37.4173,214893,213485,1408,0.6595,8780.5821,59,59,0,323,1,183,1,90.99,high,True,1
longitudinal-launch-v1,178800,Void Crowne,WolfShine,https://www.royalroad.com/fiction/178800/void-crowne,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,1348,1332,16,1.2012,99.7793,52762,51399,1363,2.6518,8499.9527,23,23,0,250,4,111,3,95.5,high,True,4
longitudinal-launch-v1,161230,"My Wife, the Cultivator [Timeloop, Cultivation]",DepressedDaoist,https://www.royalroad.com/fiction/161230/my-wife-the-cultivator-timeloop-cultivation,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,2879,2872,7,0.2437,43.6535,427038,425751,1287,0.3023,8026.0008,63,63,0,447,1,377,1,89.87,high,True,42
longitudinal-launch-v1,169690,Archmage to Druid: The Level 1 Transmigrator [LitRPG Skill Progression] [Book 1 Complete],Robert Wolf,https://www.royalroad.com/fiction/169690/archmage-to-druid-the-level-1-transmigrator-litrpg,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,4006,4002,4,0.1,24.9448,361706,360433,1273,0.3532,7938.6939,50,50,0,795,2,487,2,92.69,high,False,
longitudinal-launch-v1,176699,The Time-Looping Baby Refuses to Die[Slow-burn Progression LitRPG],Vex Ashford,https://www.royalroad.com/fiction/176699/the-time-looping-baby-refuses-to-dieslow-burn,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,902,891,11,1.2346,68.5983,45262,44275,987,2.2292,6155.1382,24,24,0,152,4,95,5,93.38,high,True,8
longitudinal-launch-v1,178807,Bite the Stars [Stray Cat Strut X Warhammer 40K],RavensDagger,https://www.royalroad.com/fiction/178807/bite-the-stars-stray-cat-strut-x-warhammer-40k,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,1252,1237,15,1.2126,93.5431,37539,36589,950,2.5964,5924.3984,23,23,0,260,3,131,2,95.63,high,True,5
longitudinal-launch-v1,172098,"How to Survive as a Starter Villainess [LITRPG, OP Archmage (sort of)]",Selethe,https://www.royalroad.com/fiction/172098/how-to-survive-as-a-starter-villainess-litrpg,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,660,649,11,1.6949,68.5983,23322,22380,942,4.2091,5874.5088,15,14,1,112,3,94,2,92.63,high,True,9
longitudinal-launch-v1,175298,"This Lady Shall Rise To Prominance! [LitRPG, OP MC]",BlessedWyrm,https://www.royalroad.com/fiction/175298/this-lady-shall-rise-to-prominance-litrpg-op-mc,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,213,206,7,3.3981,43.6535,18058,17127,931,5.4359,5805.9105,3,3,0,60,4,46,2,88.94,high,True,31
longitudinal-launch-v1,178197,[Grave Robber],DisheveledVagabond,https://www.royalroad.com/fiction/178197/grave-robber,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,596,577,19,3.2929,118.488,24349,23522,827,3.5159,5157.3447,21,20,1,75,3,31,1,93.9,high,True,12
longitudinal-launch-v1,172653,"Throne of Time [Magical Academy, Time Loop, Mystery]",Cognosticon,https://www.royalroad.com/fiction/172653/throne-of-time-magical-academy-time-loop-mystery,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,3895,3888,7,0.18,43.6535,194062,193308,754,0.3901,4702.1015,26,26,0,741,2,721,0,94.84,high,True,21
longitudinal-launch-v1,86788,The Ultimate Acceleration System [LitRPG],Crazy Mocha,https://www.royalroad.com/fiction/86788/the-ultimate-acceleration-system-litrpg,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,334,332,2,0.6024,12.4724,69952,69241,711,1.0268,4433.9445,90,90,0,55,1,45,0,85.77,high,True,21
longitudinal-launch-v1,173952,Arsenal Mage! Why Does Every Weapon Give Me A New Skill?,KSH,https://www.royalroad.com/fiction/173952/arsenal-mage-why-does-every-weapon-give-me-a-new,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,474,472,2,0.4237,12.4724,55993,55288,705,1.2751,4396.5273,59,59,0,107,1,71,0,87.86,high,True,19
longitudinal-launch-v1,172811,Beyond Control: A System's Descent [Book 1 Complete],Hassaan94,https://www.royalroad.com/fiction/172811/beyond-control-a-systems-descent-book-1-complete,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,1157,1155,2,0.1732,12.4724,110290,109601,689,0.6286,4296.7479,51,51,0,204,0,112,0,90.22,high,True,30
longitudinal-launch-v1,172245,"Qi Like Tar [XianXia, Progression Fantasy]",breadvirus,https://www.royalroad.com/fiction/172245/qi-like-tar-xianxia-progression-fantasy,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,2636,2630,6,0.2281,37.4173,245969,245321,648,0.2641,4041.0633,47,47,0,374,0,197,0,91.89,high,True,8
longitudinal-launch-v1,173678,Demon Summoner [LitRPG | Gacha | OP MC],TGreen-,https://www.royalroad.com/fiction/173678/demon-summoner-litrpg-gacha-op-mc,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,1335,1326,9,0.6787,56.1259,122862,122251,611,0.4998,3810.3236,46,46,0,242,2,127,1,91.22,high,True,1
longitudinal-launch-v1,175798,Scribe of Reality,TheFlamingSea,https://www.royalroad.com/fiction/175798/scribe-of-reality,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,1079,1064,15,1.4098,93.5431,40374,39786,588,1.4779,3666.8908,19,19,0,182,2,87,1,94.45,high,True,11
longitudinal-launch-v1,170525,The Dungeon of Arceus,Drake19,https://www.royalroad.com/fiction/170525/the-dungeon-of-arceus,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,3848,3840,8,0.2083,49.8897,160541,159973,568,0.3551,3542.1666,1,1,0,869,2,463,0,95.7,high,True,10
longitudinal-launch-v1,172666,Game of Thrones: A Blademaster in Westeros,Path Liar,https://www.royalroad.com/fiction/172666/game-of-thrones-a-blademaster-in-westeros,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,1620,1618,2,0.1236,12.4724,105263,104707,556,0.531,3467.3321,29,29,0,330,1,196,0,92.73,high,True,7
longitudinal-launch-v1,175230,The Legendary Caffeine Transcendent [OP Villain MC / Kingdom Builder / Hidden Power],majon,https://www.royalroad.com/fiction/175230/the-legendary-caffeine-transcendent-op-villain,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,1203,1192,11,0.9228,68.5983,43452,42905,547,1.2749,3411.2063,21,21,0,221,1,127,0,94.68,high,True,6
longitudinal-launch-v1,160219,"The Ill Starred Knight (Weak to Strong, Underdog, Idle Clicker, Broken Build)",Ix.author,https://www.royalroad.com/fiction/160219/the-ill-starred-knight-weak-to-strong-underdog,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,845,839,6,0.7151,37.4173,108611,108072,539,0.4987,3361.3166,77,77,0,205,3,97,1,86.8,high,True,12
longitudinal-launch-v1,174050,The 108,Mecanimus,https://www.royalroad.com/fiction/174050/the-108,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,7078,7073,5,0.0707,31.181,311410,310906,504,0.1621,3143.0493,21,21,0,1240,2,890,3,95.74,high,False,
longitudinal-launch-v1,125307,Fate Unraveling,Rustpen,https://www.royalroad.com/fiction/125307/fate-unraveling,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,1412,1409,3,0.2129,18.7086,204855,204360,495,0.2422,3086.9234,88,88,0,287,3,159,3,89.47,high,True,35
longitudinal-launch-v1,173716,Naruto: Shunsui Kyōraku,Charizard6,https://www.royalroad.com/fiction/173716/naruto-shunsui-kyoraku,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,439,437,2,0.4577,12.4724,79671,79181,490,0.6188,3055.7423,68,67,1,85,1,39,0,86.03,high,True,34
longitudinal-launch-v1,173313,Headless Over Heels [A Dark Fantasy Romance][Book 1 complete],Dukerino,https://www.royalroad.com/fiction/173313/headless-over-heels-a-dark-fantasy-romancebook,True,37,2026-07-18T21:34:31.486571Z,34,2026-07-18T17:43:36.915343Z,3.8485,2757,2751,6,0.2181,37.4173,215667,215208,459,0.2133,2862.4199,42,42,0,761,1,506,1,92.73,high,False,
